,species,island,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,above_average_weight,sex
71,Adelie,Torgersen,2008,39.7,18.4,190,3900,0,male
72,Adelie,Torgersen,2008,39.6,17.2,196,3550,0,female
73,Adelie,Torgersen,2008,45.8,18.9,197,4150,0,male
74,Adelie,Torgersen,2008,35.5,17.5,190,3700,0,female
75,Adelie,Torgersen,2008,42.8,18.5,195,4250,1,male
76,Adelie,Torgersen,2008,40.9,16.8,191,3700,0,female
77,Adelie,Torgersen,2008,37.2,19.4,184,3900,0,male
78,Adelie,Torgersen,2008,36.2,16.1,187,3550,0,female
79,Adelie,Torgersen,2008,42.1,19.1,195,4000,0,male
80,Adelie,Torgersen,2008,34.6,17.2,189,3200,0,female
81,Adelie,Torgersen,2008,42.9,17.6,196,4700,1,male
82,Adelie,Torgersen,2008,36.7,18.8,187,3800,0,female
83,Adelie,Torgersen,2008,35.1,19.4,193,4200,0,male
84,Adelie,Dream,2008,37.3,17.8,191,3350,0,female
85,Adelie,Dream,2008,41.3,20.3,194,3550,0,male
86,Adelie,Dream,2008,36.3,19.5,190,3800,0,male
87,Adelie,Dream,2008,36.9,18.6,189,3500,0,female
88,Adelie,Dream,2008,38.3,19.2,189,3950,0,male
89,Adelie,Dream,2008,38.9,18.8,190,3600,0,female
90,Adelie,Dream,2008,35.7,18.0,202,3550,0,female
91,Adelie,Dream,2008,41.1,18.1,205,4300,1,male
92,Adelie,Dream,2008,34.0,17.1,185,3400,0,female
93,Adelie,Dream,2008,39.6,18.1,186,4450,1,male
94,Adelie,Dream,2008,36.2,17.3,187,3300,0,female
95,Adelie,Dream,2008,40.8,18.9,208,4300,1,male
96,Adelie,Dream,2008,38.1,18.6,190,3700,0,female
97,Adelie,Dream,2008,40.3,18.5,196,4350,1,male
98,Adelie,Dream,2008,33.1,16.1,178,2900,0,female
99,Adelie,Dream,2008,43.2,18.5,192,4100,0,male
100,Adelie,Biscoe,2009,35.0,17.9,192,3725,0,female
101,Adelie,Biscoe,2009,41.0,20.0,203,4725,1,male
102,Adelie,Biscoe,2009,37.7,16.0,183,3075,0,female
103,Adelie,Biscoe,2009,37.8,20.0,190,4250,1,male
104,Adelie,Biscoe,2009,37.9,18.6,193,2925,0,female
105,Adelie,Biscoe,2009,39.7,18.9,184,3550,0,male
106,Adelie,Biscoe,2009,38.6,17.2,199,3750,0,female
107,Adelie,Biscoe,2009,38.2,20.0,190,3900,0,male
108,Adelie,Biscoe,2009,38.1,17.0,181,3175,0,female
109,Adelie,Biscoe,2009,43.2,19.0,197,4775,1,male
110,Adelie,Biscoe,2009,38.1,16.5,198,3825,0,female
111,Adelie,Biscoe,2009,45.6,20.3,191,4600,1,male
112,Adelie,Biscoe,2009,39.7,17.7,193,3200,0,female
113,Adelie,Biscoe,2009,42.2,19.5,197,4275,1,male
114,Adelie,Biscoe,2009,39.6,20.7,191,3900,0,female
115,Adelie,Biscoe,2009,42.7,18.3,196,4075,0,male
116,Adelie,Torgersen,2009,38.6,17.0,188,2900,0,female
117,Adelie,Torgersen,2009,37.3,20.5,199,3775,0,male
118,Adelie,Torgersen,2009,35.7,17.0,189,3350,0,female
119,Adelie,Torgersen,2009,41.1,18.6,189,3325,0,male
120,Adelie,Torgersen,2009,36.2,17.2,187,3150,0,female
121,Adelie,Torgersen,2009,37.7,19.8,198,3500,0,male
122,Adelie,Torgersen,2009,40.2,17.0,176,3450,0,female
123,Adelie,Torgersen,2009,41.4,18.5,202,3875,0,male
124,Adelie,Torgersen,2009,35.2,15.9,186,3050,0,female
125,Adelie,Torgersen,2009,40.6,19.0,199,4000,0,male
126,Adelie,Torgersen,2009,38.8,17.6,191,3275,0,female
127,Adelie,Torgersen,2009,41.5,18.3,195,4300,1,male
128,Adelie,Torgersen,2009,39.0,17.1,191,3050,0,female
129,Adelie,Torgersen,2009,44.1,18.0,210,4000,0,male
130,Adelie,Torgersen,2009,38.5,17.9,190,3325,0,female
131,Adelie,Torgersen,2009,43.1,19.2,197,3500,0,male
132,Adelie,Dream,2009,36.8,18.5,193,3500,0,female
133,Adelie,Dream,2009,37.5,18.5,199,4475,1,male
134,Adelie,Dream,2009,38.1,17.6,187,3425,0,female
135,Adelie,Dream,2009,41.1,17.5,190,3900,0,male
136,Adelie,Dream,2009,35.6,17.5,191,3175,0,female
137,Adelie,Dream,2009,40.2,20.1,200,3975,0,male
138,Adelie,Dream,2009,37.0,16.5,185,3400,0,female
139,Adelie,Dream,2009,39.7,17.9,193,4250,1,male
140,Adelie,Dream,2009,40.2,17.1,193,3400,0,female
141,Adelie,Dream,2009,40.6,17.2,187,3475,0,male
142,Adelie,Dream,2009,32.1,15.5,188,3050,0,female
143,Adelie,Dream,2009,40.7,17.0,190,3725,0,male
144,Adelie,Dream,2009,37.3,16.8,192,3000,0,female
145,Adelie,Dream,2009,39.0,18.7,185,3650,0,male
146,Adelie,Dream,2009,39.2,18.6,190,4250,1,male
147,Adelie,Dream,2009,36.6,18.4,184,3475,0,female
148,Adelie,Dream,2009,36.0,17.8,195,3450,0,female
149,Adelie,Dream,2009,37.8,18.1,193,3750,0,male
150,Adelie,Dream,2009,36.0,17.1,187,3700,0,female
151,Adelie,Dream,2009,41.5,18.5,201,4000,0,male
152,Gentoo,Biscoe,2007,46.1,13.2,211,4500,1,female
153,Gentoo,Biscoe,2007,50.0,16.3,230,5700,1,male
154,Gentoo,Biscoe,2007,48.7,14.1,210,4450,1,female
155,Gentoo,Biscoe,2007,50.0,15.2,218,5700,1,male
156,Gentoo,Biscoe,2007,47.6,14.5,215,5400,1,male
157,Gentoo,Biscoe,2007,46.5,13.5,210,4550,1,female
158,Gentoo,Biscoe,2007,45.4,14.6,211,4800,1,female
159,Gentoo,Biscoe,2007,46.7,15.3,219,5200,1,male
160,Gentoo,Biscoe,2007,43.3,13.4,209,4400,1,female
161,Gentoo,Biscoe,2007,46.8,15.4,215,5150,1,male
162,Gentoo,Biscoe,2007,40.9,13.7,214,4650,1,female
163,Gentoo,Biscoe,2007,49.0,16.1,216,5550,1,male
164,Gentoo,Biscoe,2007,45.5,13.7,214,4650,1,female
165,Gentoo,Biscoe,2007,48.4,14.6,213,5850,1,male
166,Gentoo,Biscoe,2007,45.8,14.6,210,4200,0,female
167,Gentoo,Biscoe,2007,49.3,15.7,217,5850,1,male
168,Gentoo,Biscoe,2007,42.0,13.5,210,4150,0,female
169,Gentoo,Biscoe,2007,49.2,15.2,221,6300,1,male
170,Gentoo,Biscoe,2007,46.2,14.5,209,4800,1,female
171,Gentoo,Biscoe,2007,48.7,15.1,222,5350,1,male
172,Gentoo,Biscoe,2007,50.2,14.3,218,5700,1,male
173,Gentoo,Biscoe,2007,45.1,14.5,215,5000,1,female
174,Gentoo,Biscoe,2007,46.5,14.5,213,4400,1,female
175,Gentoo,Biscoe,2007,46.3,15.8,215,5050,1,male
176,Gentoo,Biscoe,2007,42.9,13.1,215,5000,1,female
177,Gentoo,Biscoe,2007,46.1,15.1,215,5100,1,male
178,Gentoo,Biscoe,2007,44.5,14.3,216,4100,0,
179,Gentoo,Biscoe,2007,47.8,15.0,215,5650,1,male
180,Gentoo,Biscoe,2007,48.2,14.3,210,4600,1,female
181,Gentoo,Biscoe,2007,50.0,15.3,220,5550,1,male
182,Gentoo,Biscoe,2007,47.3,15.3,222,5250,1,male
183,Gentoo,Biscoe,2007,42.8,14.2,209,4700,1,female
184,Gentoo,Biscoe,2007,45.1,14.5,207,5050,1,female
185,Gentoo,Biscoe,2007,59.6,17.0,230,6050,1,male
186,Gentoo,Biscoe,2008,49.1,14.8,220,5150,1,female
187,Gentoo,Biscoe,2008,48.4,16.3,220,5400,1,male
188,Gentoo,Biscoe,2008,42.6,13.7,213,4950,1,female
189,Gentoo,Biscoe,2008,44.4,17.3,219,5250,1,male
190,Gentoo,Biscoe,2008,44.0,13.6,208,4350,1,female
191,Gentoo,Biscoe,2008,48.7,15.7,208,5350,1,male
192,Gentoo,Biscoe,2008,42.7,13.7,208,3950,0,female
193,Gentoo,Biscoe,2008,49.6,16.0,225,5700,1,male
194,Gentoo,Biscoe,2008,45.3,13.7,210,4300,1,female
195,Gentoo,Biscoe,2008,49.6,15.0,216,4750,1,male
196,Gentoo,Biscoe,2008,50.5,15.9,222,5550,1,male
197,Gentoo,Biscoe,2008,43.6,13.9,217,4900,1,female
198,Gentoo,Biscoe,2008,45.5,13.9,210,4200,0,female
199,Gentoo,Biscoe,2008,50.5,15.9,225,5400,1,male
200,Gentoo,Biscoe,2008,44.9,13.3,213,5100,1,female
201,Gentoo,Biscoe,2008,45.2,15.8,215,5300,1,male
202,Gentoo,Biscoe,2008,46.6,14.2,210,4850,1,female
203,Gentoo,Biscoe,2008,48.5,14.1,220,5300,1,male
204,Gentoo,Biscoe,2008,45.1,14.4,210,4400,1,female
205,Gentoo,Biscoe,2008,50.1,15.0,225,5000,1,male
206,Gentoo,Biscoe,2008,46.5,14.4,217,4900,1,female
207,Gentoo,Biscoe,2008,45.0,15.4,220,5050,1,male
208,Gentoo,Biscoe,2008,43.8,13.9,208,4300,1,female
209,Gentoo,Biscoe,2008,45.5,15.0,220,5000,1,male
210,Gentoo,Biscoe,2008,43.2,14.5,208,4450,1,female
211,Gentoo,Biscoe,2008,50.4,15.3,224,5550,1,male
212,Gentoo,Biscoe,2008,45.3,13.8,208,4200,0,female
213,Gentoo,Biscoe,2008,46.2,14.9,221,5300,1,male
214,Gentoo,Biscoe,2008,45.7,13.9,214,4400,1,female
215,Gentoo,Biscoe,2008,54.3,15.7,231,5650,1,male
216,Gentoo,Biscoe,2008,45.8,14.2,219,4700,1,female
217,Gentoo,Biscoe,2008,49.8,16.8,230,5700,1,male
218,Gentoo,Biscoe,2008,46.2,14.4,214,4650,1,
219,Gentoo,Biscoe,2008,49.5,16.2,229,5800,1,male
220,Gentoo,Biscoe,2008,43.5,14.2,220,4700,1,female
221,Gentoo,Biscoe,2008,50.7,15.0,223,5550,1,male
222,Gentoo,Biscoe,2008,47.7,15.0,216,4750,1,female
223,Gentoo,Biscoe,2008,46.4,15.6,221,5000,1,male
224,Gentoo,Biscoe,2008,48.2,15.6,221,5100,1,male
225,Gentoo,Biscoe,2008,46.5,14.8,217,5200,1,female
226,Gentoo,Biscoe,2008,46.4,15.0,216,4700,1,female
227,Gentoo,Biscoe,2008,48.6,16.0,230,5800,1,male
228,Gentoo,Biscoe,2008,47.5,14.2,209,4600,1,female
229,Gentoo,Biscoe,2008,51.1,16.3,220,6000,1,male
230,Gentoo,Biscoe,2008,45.2,13.8,215,4750,1,female
231,Gentoo,Biscoe,2008,45.2,16.4,223,5950,1,male
232,Gentoo,Biscoe,2009,49.1,14.5,212,4625,1,female
233,Gentoo,Biscoe,2009,52.5,15.6,221,5450,1,male
234,Gentoo,Biscoe,2009,47.4,14.6,212,4725,1,female
235,Gentoo,Biscoe,2009,50.0,15.9,224,5350,1,male
236,Gentoo,Biscoe,2009,44.9,13.8,212,4750,1,female
237,Gentoo,Biscoe,2009,50.8,17.3,228,5600,1,male
238,Gentoo,Biscoe,2009,43.4,14.4,218,4600,1,female
239,Gentoo,Biscoe,2009,51.3,14.2,218,5300,1,male
240,Gentoo,Biscoe,2009,47.5,14.0,212,4875,1,female
241,Gentoo,Biscoe,2009,52.1,17.0,230,5550,1,male
242,Gentoo,Biscoe,2009,47.5,15.0,218,4950,1,female
243,Gentoo,Biscoe,2009,52.2,17.1,228,5400,1,male
244,Gentoo,Biscoe,2009,45.5,14.5,212,4750,1,female
245,Gentoo,Biscoe,2009,49.5,16.1,224,5650,1,male
246,Gentoo,Biscoe,2009,44.5,14.7,214,4850,1,female
247,Gentoo,Biscoe,2009,50.8,15.7,226,5200,1,male
248,Gentoo,Biscoe,2009,49.4,15.8,216,4925,1,male
249,Gentoo,Biscoe,2009,46.9,14.6,222,4875,1,female
250,Gentoo,Biscoe,2009,48.4,14.4,203,4625,1,female
251,Gentoo,Biscoe,2009,51.1,16.5,225,5250,1,male
252,Gentoo,Biscoe,2009,48.5,15.0,219,4850,1,female
253,Gentoo,Biscoe,2009,55.9,17.0,228,5600,1,male
254,Gentoo,Biscoe,2009,47.2,15.5,215,4975,1,female
255,Gentoo,Biscoe,2009,49.1,15.0,228,5500,1,male
256,Gentoo,Biscoe,2009,47.3,13.8,216,4725,1,
257,Gentoo,Biscoe,2009,46.8,16.1,215,5500,1,male
258,Gentoo,Biscoe,2009,41.7,14.7,210,4700,1,female
259,Gentoo,Biscoe,2009,53.4,15.8,219,5500,1,male
260,Gentoo,Biscoe,2009,43.3,14.0,208,4575,1,female
261,Gentoo,Biscoe,2009,48.1,15.1,209,5500,1,male
262,Gentoo,Biscoe,2009,50.5,15.2,216,5000,1,female
263,Gentoo,Biscoe,2009,49.8,15.9,229,5950,1,male
264,Gentoo,Biscoe,2009,43.5,15.2,213,4650,1,female
265,Gentoo,Biscoe,2009,51.5,16.3,230,5500,1,male
266,Gentoo,Biscoe,2009,46.2,14.1,217,4375,1,female
267,Gentoo,Biscoe,2009,55.1,16.0,230,5850,1,male
268,Gentoo,Biscoe,2009,44.5,15.7,217,4875,1,
269,Gentoo,Biscoe,2009,48.8,16.2,222,6000,1,male
270,Gentoo,Biscoe,2009,47.2,13.7,214,4925,1,female
271,Gentoo,Biscoe,2009,,,,,,
272,Gentoo,Biscoe,2009,46.8,14.3,215,4850,1,female
273,Gentoo,Biscoe,2009,50.4,15.7,222,5750,1,male
274,Gentoo,Biscoe,2009,45.2,14.8,212,5200,1,female
275,Gentoo,Biscoe,2009,49.9,16.1,213,5400,1,male
276,Chinstrap,Dream,2007,46.5,17.9,192,3500,0,female
277,Chinstrap,Dream,2007,50.0,19.5,196,3900,0,male
278,Chinstrap,Dream,2007,51.3,19.2,193,3650,0,male
279,Chinstrap,Dream,2007,45.4,18.7,188,3525,0,female
280,Chinstrap,Dream,2007,52.7,19.8,197,3725,0,male
281,Chinstrap,Dream,2007,45.2,17.8,198,3950,0,female
282,Chinstrap,Dream,2007,46.1,18.2,178,3250,0,female
283,Chinstrap,Dream,2007,51.3,18.2,197,3750,0,male
284,Chinstrap,Dream,2007,46.0,18.9,195,4150,0,female
285,Chinstrap,Dream,2007,51.3,19.9,198,3700,0,male
286,Chinstrap,Dream,2007,46.6,17.8,193,3800,0,female
287,Chinstrap,Dream,2007,51.7,20.3,194,3775,0,male
288,Chinstrap,Dream,2007,47.0,17.3,185,3700,0,female
289,Chinstrap,Dream,2007,52.0,18.1,201,4050,0,male
290,Chinstrap,Dream,2007,45.9,17.1,190,3575,0,female
291,Chinstrap,Dream,2007,50.5,19.6,201,4050,0,male
292,Chinstrap,Dream,2007,50.3,20.0,197,3300,0,male
293,Chinstrap,Dream,2007,58.0,17.8,181,3700,0,female
294,Chinstrap,Dream,2007,46.4,18.6,190,3450,0,female
295,Chinstrap,Dream,2007,49.2,18.2,195,4400,1,male
296,Chinstrap,Dream,2007,42.4,17.3,181,3600,0,female
297,Chinstrap,Dream,2007,48.5,17.5,191,3400,0,male
298,Chinstrap,Dream,2007,43.2,16.6,187,2900,0,female
299,Chinstrap,Dream,2007,50.6,19.4,193,3800,0,male
300,Chinstrap,Dream,2007,46.7,17.9,195,3300,0,female
301,Chinstrap,Dream,2007,52.0,19.0,197,4150,0,male
302,Chinstrap,Dream,2008,50.5,18.4,200,3400,0,female
303,Chinstrap,Dream,2008,49.5,19.0,200,3800,0,male
304,Chinstrap,Dream,2008,46.4,17.8,191,3700,0,female
305,Chinstrap,Dream,2008,52.8,20.0,205,4550,1,male
306,Chinstrap,Dream,2008,40.9,16.6,187,3200,0,female
307,Chinstrap,Dream,2008,54.2,20.8,201,4300,1,male
308,Chinstrap,Dream,2008,42.5,16.7,187,3350,0,female
309,Chinstrap,Dream,2008,51.0,18.8,203,4100,0,male
310,Chinstrap,Dream,2008,49.7,18.6,195,3600,0,male
311,Chinstrap,Dream,2008,47.5,16.8,199,3900,0,female
312,Chinstrap,Dream,2008,47.6,18.3,195,3850,0,female
313,Chinstrap,Dream,2008,52.0,20.7,210,4800,1,male
314,Chinstrap,Dream,2008,46.9,16.6,192,2700,0,female
315,Chinstrap,Dream,2008,53.5,19.9,205,4500,1,male
316,Chinstrap,Dream,2008,49.0,19.5,210,3950,0,male
317,Chinstrap,Dream,2008,46.2,17.5,187,3650,0,female
318,Chinstrap,Dream,2008,50.9,19.1,196,3550,0,male
319,Chinstrap,Dream,2008,45.5,17.0,196,3500,0,female
320,Chinstrap,Dream,2009,50.9,17.9,196,3675,0,female
321,Chinstrap,Dream,2009,50.8,18.5,201,4450,1,male
322,Chinstrap,Dream,2009,50.1,17.9,190,3400,0,female
323,Chinstrap,Dream,2009,49.0,19.6,212,4300,1,male
324,Chinstrap,Dream,2009,51.5,18.7,187,3250,0,male
325,Chinstrap,Dream,2009,49.8,17.3,198,3675,0,female
326,Chinstrap,Dream,2009,48.1,16.4,199,3325,0,female
327,Chinstrap,Dream,2009,51.4,19.0,201,3950,0,male
328,Chinstrap,Dream,2009,45.7,17.3,193,3600,0,female
329,Chinstrap,Dream,2009,50.7,19.7,203,4050,0,male
330,Chinstrap,Dream,2009,42.5,17.3,187,3350,0,female
331,Chinstrap,Dream,2009,52.2,18.8,197,3450,0,male
332,Chinstrap,Dream,2009,45.2,16.6,191,3250,0,female
333,Chinstrap,Dream,2009,49.3,19.9,203,4050,0,male
334,Chinstrap,Dream,2009,50.2,18.8,202,3800,0,male
335,Chinstrap,Dream,2009,45.6,19.4,194,3525,0,female
336,Chinstrap,Dream,2009,51.9,19.5,206,3950,0,male
337,Chinstrap,Dream,2009,46.8,16.5,189,3650,0,female
338,Chinstrap,Dream,2009,45.7,17.0,195,3650,0,female
339,Chinstrap,Dream,2009,55.8,19.8,207,4000,0,male
340,Chinstrap,Dream,2009,43.5,18.1,202,3400,0,female
341,Chinstrap,Dream,2009,49.6,18.2,193,3775,0,male
342,Chinstrap,Dream,2009,50.8,19.0,210,4100,0,male
343,Chinstrap,Dream,2009,50.2,18.7,198,3775,0,female
