,artist,country,birth,death,alive,genx,gender,count,year_acquired_min,year_acquired_max
51,JosÃ© R. Alicea,american,1928,,True,False,male,4,1964,1967
52,Kathy High,american,1954,,True,False,female,1,1990,1990
53,Julius Thiengen Bloch,american,1888,1966,False,False,male,4,1940,1940
54,Robert Gordy,american,1933,1986,False,False,male,1,1991,1991
55,Karin Sander,german,1957,,True,False,female,7,1994,2019
56,Edward Fella,american,1938,,True,False,male,11,2000,2000
57,Jakob Jack Friedrich Bollschweiler,german,1888,1938,False,False,male,2,1949,1949
58,Russell Limbach,american,1904,1971,False,False,male,1,1940,1940
59,Joe Scorsone,american,1942,,True,False,male,2,1980,1980
60,James Montgomery Flagg,american,1877,1960,False,False,male,7,1940,1967
61,Jean-Baptiste-Camille Corot,french,1796,1875,False,False,male,2,1954,1964
62,Stephen Metts,american,1968,,True,True,male,1,2004,2004
63,Grant T. Reynard,american,1887,1968,False,False,male,1,1940,1940
64,Charles Clifford,british,1819,1863,False,False,male,1,1978,1978
65,Jay McCafferty,american,1948,,True,False,male,1,1981,1981
66,Marco De Valdivia,chilean,1947,,True,False,male,2,1979,1979
67,Gustav Klimt,austrian,1862,1918,False,False,male,11,1955,1979
68,Leander Fornas,american,1925,2014,False,False,male,4,1956,1986
69,Richard Barnes,american,1953,,True,False,male,4,2012,2012
70,John Ahearn,american,1951,,True,False,male,4,2016,2016
71,AmÃ¨rico BalÃ¡n,argentine,1915,1986,False,False,male,1,1969,1969
72,Victor Brauner,romanian,1903,1966,False,False,male,11,1947,1975
73,Rong Rong,chinese,1968,,True,True,male,5,2008,2008
74,Joseph Pollet,american,1897,1979,False,False,male,1,1940,1940
75,Fred Williams,australian,1927,1982,False,False,male,16,1973,1980
76,Charles L. Goeller,american,1901,1955,False,False,male,1,1934,1934
77,Rob Voerman,dutch,1966,,True,True,male,3,2006,2006
78,Mariah Robertson,american,1975,,True,True,female,2,2010,2012
79,Keigo Yamamoto,japanese,1936,,True,False,male,3,1979,1986
80,Werner Knaupp,german,1936,,True,False,male,2,1969,1969
81,Ricardo Basbaum,brazilian,1961,,True,False,male,1,2006,2006
82,Osamu Nagata,japanese,1950,,True,False,male,1,1986,1986
83,Olga Rozanova,russian,1886,1918,False,False,female,211,1974,2001
84,Robert Kozma,american,1951,,True,False,male,1,1990,1990
85,Bernard Tschumi,,1944,,True,False,male,61,1992,2000
86,Pasquale Santoro,italian,1933,,True,False,male,1,1966,1966
87,Carl AubÃ¶ck,austrian,1900,1957,False,False,male,8,1959,2001
88,Ron Herron,british,1930,1994,False,False,male,2,2000,2000
89,Akihiro Kaneko,japanese,1961,,True,False,male,1,2000,2000
90,Gianfredo Camesi,swiss,1940,,True,False,male,6,2007,2007
91,Arthur Secunda,american,1927,,True,False,male,6,1967,1974
92,Andrzej Zborski,polish,1929,,True,False,male,1,2015,2015
93,Amy O'Neill,american,1971,,True,True,female,4,2015,2015
94,Yehudit Sasportas,israeli,1969,,True,True,female,1,2005,2005
95,AndrÃ© Marchand,french,1907,1997,False,False,male,1,1952,1952
96,SanlÃ© Sory,burkinabe,1943,,True,False,male,26,2018,2018
97,Claude Monet,french,1840,1926,False,False,male,5,1956,1992
98,Jean L'Anselme,french,1919,2011,False,False,male,7,1976,1976
99,G. de Latenay,french,1859,1943,False,False,male,1,1958,1958
