,location,mintemp,maxtemp,rainfall,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm,humidity9am,humidity3pm,pressure9am,pressure3pm,temp9am,temp3pm,raintoday,risk_mm,raintomorrow,year,month,day_of_year
27,Uluru,9.2,35.0,0.0,N,57.0,NNE,NW,2.0,30.0,18,6,1015.1,1010.5,21.8,34.6,No,0.0,No,2018.0,9.0,257.0
28,Uluru,19.1,28.8,3.0,E,41.0,SE,ESE,17.0,19.0,87,49,1017.4,1014.2,20.2,27.4,Yes,0.0,No,2014.0,4.0,93.0
29,Uluru,0.9,19.6,0.0,SSE,30.0,S,SSE,9.0,11.0,60,23,1024.2,1020.9,9.6,18.5,No,0.0,No,2014.0,8.0,229.0
30,Uluru,9.6,26.8,0.0,S,52.0,SE,N,15.0,9.0,27,15,1015.2,1010.4,17.0,24.5,No,0.0,No,2013.0,9.0,261.0
31,Uluru,0.8,20.8,0.0,ESE,48.0,ESE,E,15.0,24.0,64,23,1024.6,1020.7,9.0,19.9,No,0.0,No,2017.0,7.0,212.0
32,Uluru,21.3,34.6,0.0,ESE,48.0,E,SSE,30.0,19.0,17,10,1016.2,1011.9,26.7,33.5,No,0.0,No,2015.0,11.0,318.0
33,Uluru,22.7,37.7,0.0,SE,35.0,ESE,W,20.0,6.0,36,23,1013.7,1010.5,29.2,36.4,No,0.0,No,2014.0,12.0,353.0
34,Uluru,12.1,27.8,0.0,ESE,37.0,SSE,SSE,24.0,13.0,28,17,1021.7,1018.2,17.8,26.6,No,0.0,No,2015.0,9.0,259.0
35,Uluru,4.1,24.7,0.0,E,26.0,ESE,E,11.0,9.0,33,17,1022.1,1017.2,13.4,23.7,No,0.0,No,2017.0,5.0,131.0
36,Uluru,19.5,38.1,0.0,E,52.0,SSE,ESE,15.0,26.0,22,12,1012.9,1009.1,30.0,36.3,No,0.0,No,2017.0,3.0,62.0
37,Uluru,13.1,38.7,,N,26.0,ESE,WSW,6.0,19.0,17,7,1012.4,1007.8,26.1,38.4,,0.0,No,2018.0,3.0,75.0
38,Uluru,14.7,29.5,0.0,E,46.0,E,E,19.0,19.0,33,14,1019.2,1015.0,19.1,28.6,No,0.0,No,2020.0,4.0,97.0
39,Uluru,16.0,36.0,0.0,E,31.0,E,ESE,17.0,19.0,14,9,1013.9,1010.0,28.4,34.9,No,0.0,No,2013.0,12.0,347.0
40,Uluru,10.2,27.9,0.0,WNW,44.0,ESE,NNW,13.0,22.0,85,30,1020.5,1015.8,14.3,27.8,No,0.0,No,2013.0,7.0,193.0
41,Uluru,17.9,31.3,0.0,E,46.0,E,E,28.0,22.0,27,16,1022.9,1017.4,21.0,29.6,No,0.0,No,2015.0,3.0,86.0
42,Uluru,20.0,38.9,0.0,E,59.0,E,SSE,20.0,17.0,12,12,1007.2,1002.6,31.3,38.4,No,0.0,No,2015.0,12.0,364.0
43,Uluru,16.0,30.2,0.0,S,43.0,SSE,SE,28.0,15.0,42,18,1017.3,1013.6,19.5,27.7,No,0.0,No,2013.0,10.0,295.0
44,Uluru,5.1,23.1,0.0,NE,35.0,SE,E,13.0,13.0,59,38,1019.3,1015.8,12.5,21.3,No,0.0,No,2013.0,5.0,137.0
45,Uluru,20.1,34.4,0.0,SW,39.0,SW,NNW,11.0,11.0,46,27,1011.6,1009.5,26.3,30.5,No,0.0,No,2015.0,11.0,314.0
46,Uluru,10.9,33.2,0.0,E,39.0,ENE,ESE,20.0,13.0,18,8,1015.2,1009.9,24.5,31.3,No,0.0,No,2017.0,11.0,306.0
47,Uluru,18.2,35.8,0.0,ESE,41.0,ENE,ESE,24.0,24.0,27,14,1015.8,1011.4,27.1,34.0,No,0.0,No,2014.0,3.0,62.0
48,Uluru,18.8,36.6,0.0,SSE,46.0,SE,SSE,24.0,22.0,23,11,1015.9,1012.6,29.0,35.0,No,0.0,No,2013.0,10.0,301.0
49,Uluru,13.8,26.9,0.0,S,35.0,,NW,0.0,17.0,49,24,1019.1,1015.1,16.2,25.4,No,8.0,Yes,2015.0,7.0,204.0
50,Uluru,25.7,39.9,0.0,ESE,50.0,SSE,E,28.0,26.0,41,12,1012.4,1008.1,28.1,38.8,No,0.0,No,2020.0,2.0,49.0
51,Uluru,17.4,32.8,0.0,SSW,56.0,S,SSW,22.0,19.0,42,14,1011.7,1007.9,20.6,31.1,No,0.0,No,2018.0,11.0,331.0
52,Uluru,10.3,34.9,0.0,NE,35.0,SE,NNE,11.0,20.0,11,7,1017.1,1012.3,22.3,34.3,No,0.0,No,2018.0,9.0,270.0
53,Uluru,22.2,39.1,0.0,ENE,41.0,E,E,26.0,22.0,14,8,1013.5,1009.0,29.9,37.7,No,0.0,No,2013.0,12.0,350.0
54,Uluru,15.8,30.5,0.0,E,41.0,ESE,NE,24.0,13.0,67,36,1017.3,1013.1,20.8,29.0,No,0.0,No,2017.0,4.0,113.0
55,Uluru,13.0,29.2,0.0,E,44.0,E,E,19.0,19.0,36,23,1020.4,1016.3,21.5,29.0,No,0.0,No,2020.0,4.0,100.0
56,Uluru,28.2,39.5,0.0,SW,83.0,ENE,N,28.0,7.0,35,21,1005.9,1001.0,30.6,38.1,No,2.0,Yes,2015.0,12.0,358.0
57,Uluru,24.3,39.7,0.0,S,46.0,E,SW,22.0,15.0,36,17,1007.9,1003.9,30.4,38.1,No,0.0,No,2013.0,3.0,65.0
58,Uluru,13.7,17.3,8.0,SSE,22.0,SSW,SE,9.0,11.0,92,67,1022.1,1020.5,14.1,16.9,Yes,1.2,Yes,2015.0,7.0,205.0
59,Uluru,4.5,21.1,0.0,E,52.0,E,E,22.0,26.0,47,20,1031.5,1026.6,10.9,19.9,No,0.0,No,2019.0,8.0,233.0
60,Uluru,20.3,37.6,0.0,N,37.0,ENE,WNW,17.0,17.0,18,12,1011.7,1007.6,28.0,36.1,No,0.0,No,2020.0,3.0,70.0
61,Uluru,,23.5,,ENE,33.0,E,SSE,19.0,15.0,57,34,1020.9,1017.3,15.4,22.5,,,,2014.0,5.0,121.0
62,Uluru,10.9,37.3,0.0,NW,63.0,E,NNW,7.0,31.0,11,7,1011.4,1006.1,25.6,36.6,No,0.0,No,2013.0,9.0,265.0
63,Uluru,13.4,32.9,0.0,NE,35.0,ESE,NE,7.0,20.0,20,8,1020.4,1015.9,22.3,32.0,No,0.0,No,2013.0,9.0,250.0
64,Uluru,21.4,24.8,0.4,SSW,50.0,NE,SE,11.0,26.0,72,97,1010.6,1010.4,23.8,17.7,No,6.6,Yes,2013.0,12.0,356.0
65,Uluru,8.1,20.8,0.0,ENE,31.0,E,E,17.0,17.0,99,57,1024.6,1020.3,9.2,18.7,No,0.0,No,2013.0,7.0,191.0
66,Uluru,20.1,38.1,0.0,W,74.0,ESE,W,7.0,11.0,16,11,1017.4,1014.0,27.9,37.7,No,0.0,No,2019.0,10.0,292.0
67,Uluru,10.2,26.2,0.0,ENE,24.0,ESE,NNE,15.0,7.0,76,37,1019.9,1016.0,15.2,25.2,No,0.0,No,2013.0,6.0,161.0
68,Uluru,,27.7,,NNE,48.0,NNE,ENE,30.0,19.0,58,31,1020.9,1017.4,18.1,26.5,,,,2014.0,5.0,131.0
69,Uluru,11.5,32.5,0.0,NNE,30.0,E,ESE,13.0,11.0,25,12,1015.0,1010.8,22.4,30.4,No,0.0,No,2014.0,3.0,86.0
70,Uluru,13.9,36.3,0.0,NNW,41.0,ESE,NNW,22.0,13.0,25,10,1014.9,1010.3,25.2,34.9,No,0.0,No,2014.0,9.0,272.0
71,Uluru,20.1,37.8,0.6,SE,46.0,SSE,SSE,17.0,19.0,48,26,1009.1,1005.7,27.5,35.3,No,0.2,No,2017.0,12.0,348.0
72,Uluru,30.7,45.4,0.0,NW,39.0,NNW,NW,17.0,15.0,28,10,1004.0,999.7,35.1,44.2,No,0.0,No,2019.0,1.0,17.0
73,Uluru,23.1,39.9,0.0,ENE,37.0,E,WNW,22.0,13.0,33,16,1012.3,1007.7,28.1,37.8,No,0.0,No,2017.0,3.0,81.0
74,Uluru,9.8,30.5,0.0,NE,46.0,E,SSE,19.0,11.0,26,11,1022.3,1017.5,20.2,29.8,No,0.0,No,2014.0,9.0,256.0
75,Uluru,10.3,25.8,0.0,S,43.0,SE,SSE,9.0,17.0,28,17,1018.5,1017.0,18.6,25.1,No,0.0,No,2013.0,8.0,226.0
76,Uluru,4.9,27.8,0.0,NNE,28.0,NE,N,7.0,9.0,42,14,1023.4,1020.4,14.0,27.1,No,0.0,No,2017.0,7.0,206.0
77,Uluru,14.9,34.9,0.0,NW,48.0,WSW,WNW,13.0,33.0,14,12,1009.8,1006.7,28.2,33.8,No,0.0,No,2017.0,9.0,266.0
78,Uluru,15.6,33.1,0.0,SSW,46.0,SE,SW,22.0,20.0,31,11,1011.3,1005.4,21.3,32.3,No,0.0,No,2018.0,12.0,348.0
79,Uluru,4.8,22.2,0.0,ESE,35.0,SE,E,15.0,13.0,59,24,1024.3,1019.8,12.5,21.4,No,0.0,No,2015.0,8.0,236.0
80,Uluru,4.2,18.9,0.0,S,37.0,SE,SSW,6.0,9.0,60,35,1022.7,1020.7,9.8,17.9,No,0.0,No,2015.0,7.0,191.0
81,Uluru,16.3,35.7,0.0,E,41.0,E,WSW,26.0,7.0,30,19,1012.5,1008.4,23.8,33.4,No,0.0,No,2017.0,3.0,72.0
82,Uluru,22.6,39.2,0.0,NW,56.0,ENE,NE,11.0,6.0,25,7,1015.8,1010.7,30.5,38.0,No,0.0,No,2015.0,10.0,298.0
83,Uluru,3.5,22.9,0.0,E,39.0,SSE,ENE,11.0,15.0,57,27,1024.0,1020.8,11.2,22.5,No,0.0,No,2013.0,7.0,210.0
84,Uluru,9.5,23.1,0.0,E,43.0,ESE,ESE,26.0,17.0,50,28,1024.6,1020.8,13.8,22.1,No,0.0,No,2015.0,4.0,117.0
85,Uluru,18.3,29.3,1.0,S,41.0,S,SE,19.0,17.0,84,37,1011.4,1007.5,19.8,27.5,No,0.4,No,2013.0,11.0,325.0
86,Uluru,20.6,40.9,0.0,S,57.0,ENE,NE,15.0,7.0,22,13,1009.2,1005.3,32.0,39.7,No,0.0,No,2013.0,3.0,71.0
87,Uluru,3.2,20.1,0.0,E,26.0,SE,ENE,13.0,9.0,39,17,1025.5,1022.4,8.2,19.4,No,0.0,No,2019.0,6.0,175.0
88,Uluru,20.0,44.1,0.0,NNW,57.0,NE,N,24.0,24.0,9,10,1010.5,1005.3,36.1,41.5,No,0.0,No,2015.0,12.0,339.0
89,Uluru,15.1,34.6,0.0,SSE,41.0,SE,SSE,24.0,22.0,37,17,1013.8,1009.4,24.0,33.2,No,0.0,No,2019.0,12.0,336.0
90,Uluru,18.4,34.0,0.0,E,52.0,E,E,39.0,24.0,29,13,1019.2,1013.1,20.2,32.4,No,0.0,No,2018.0,9.0,273.0
91,Uluru,3.8,19.7,0.0,E,44.0,ESE,E,17.0,20.0,51,26,1026.3,1022.3,9.8,18.5,No,0.0,No,2015.0,8.0,218.0
92,Uluru,15.2,21.5,6.8,ENE,30.0,NE,ENE,19.0,9.0,65,65,1016.9,1015.3,19.0,21.2,Yes,12.6,Yes,2017.0,4.0,108.0
93,Uluru,5.0,22.6,0.0,SE,31.0,SE,ESE,20.0,20.0,49,19,1024.2,1019.9,13.2,21.6,No,0.0,No,2015.0,9.0,246.0
94,Uluru,10.3,24.8,0.0,E,41.0,ESE,E,17.0,13.0,47,28,1022.8,1018.8,16.5,23.7,No,0.0,No,2019.0,5.0,146.0
95,Uluru,27.8,39.1,0.0,NW,80.0,NW,WSW,19.0,26.0,36,43,1007.2,1003.3,31.9,30.1,No,2.6,Yes,2020.0,1.0,3.0
96,Uluru,2.9,20.3,0.0,W,37.0,,SSW,0.0,19.0,94,31,1019.4,1017.7,9.4,19.5,No,0.0,No,2014.0,7.0,196.0
97,Uluru,8.0,24.6,0.0,E,33.0,SE,ESE,11.0,13.0,46,25,1021.7,1018.8,13.8,23.5,No,0.0,No,2017.0,5.0,148.0
98,Uluru,15.2,30.2,0.2,NNE,28.0,E,NNW,15.0,9.0,77,31,1021.1,1017.9,19.3,28.4,No,0.0,No,2019.0,5.0,140.0
99,Uluru,16.8,37.8,0.0,WNW,41.0,ESE,WNW,4.0,22.0,26,14,1017.4,1013.7,26.4,37.0,No,0.0,No,2020.0,4.0,114.0
100,Wollongong,17.4,23.2,0.0,SE,57.0,S,S,13.0,15.0,84,76,1024.7,1023.2,20.1,22.6,No,5.0,Yes,2009.0,3.0,89.0
101,Wollongong,13.3,20.0,0.0,S,41.0,S,SSE,26.0,22.0,54,51,1018.1,1016.7,16.7,19.4,No,0.0,No,2010.0,5.0,135.0
102,Wollongong,10.6,19.1,0.0,NW,41.0,NNE,WSW,7.0,17.0,68,36,1012.7,1009.2,15.3,18.5,No,0.0,No,2012.0,7.0,196.0
103,Wollongong,14.6,20.5,4.0,SSW,26.0,SSW,SE,17.0,17.0,73,64,1019.6,1016.1,18.7,20.0,Yes,0.0,No,2011.0,5.0,121.0
104,Wollongong,21.0,23.6,0.0,S,43.0,SSE,SSE,31.0,28.0,76,64,1019.9,1019.8,21.6,23.1,No,0.0,No,2011.0,1.0,28.0
105,Wollongong,18.5,21.6,36.2,SSE,70.0,S,S,37.0,33.0,58,62,1020.3,1019.5,20.3,20.3,Yes,0.0,No,2018.0,2.0,51.0
106,Wollongong,12.4,19.8,0.0,NNW,30.0,NW,NE,17.0,13.0,66,54,1028.6,1024.3,15.5,18.5,No,0.0,No,2015.0,6.0,181.0
107,Wollongong,18.5,23.1,0.0,SSW,39.0,SSW,S,28.0,30.0,75,74,1023.8,1023.1,21.4,22.3,No,0.0,No,2019.0,2.0,58.0
108,Wollongong,12.6,22.6,0.0,NW,31.0,NNW,NNE,19.0,19.0,55,76,1011.6,1006.9,19.9,18.9,No,0.0,No,2009.0,8.0,235.0
109,Wollongong,10.7,16.3,0.0,WNW,113.0,NW,NW,22.0,57.0,46,41,1005.2,1000.9,11.7,15.8,No,0.0,No,2014.0,6.0,175.0
110,Wollongong,15.6,17.0,15.0,SSW,56.0,SSW,SSW,22.0,26.0,94,96,1014.8,1014.7,16.1,16.5,Yes,61.8,Yes,2010.0,11.0,333.0
111,Wollongong,15.2,20.3,1.4,ENE,46.0,ENE,ENE,31.0,28.0,77,70,1027.4,1025.5,17.8,19.9,Yes,4.8,Yes,2018.0,10.0,287.0
112,Wollongong,15.7,21.4,0.0,SSW,50.0,NE,NNE,15.0,19.0,74,79,1017.9,1012.8,19.3,20.7,No,0.0,No,2017.0,10.0,278.0
113,Wollongong,10.9,21.4,0.4,WSW,72.0,W,W,17.0,24.0,47,34,1015.0,1014.4,13.8,20.5,No,0.0,No,2019.0,3.0,90.0
114,Wollongong,20.0,22.4,26.6,NNE,67.0,N,N,24.0,33.0,76,71,1022.1,1019.8,21.1,21.5,Yes,1.0,No,2014.0,3.0,86.0
115,Wollongong,19.5,23.1,9.8,S,44.0,SSW,SSE,9.0,15.0,82,74,1019.6,1019.0,20.3,22.2,Yes,0.0,No,2015.0,1.0,5.0
116,Wollongong,9.9,16.9,0.0,N,54.0,N,W,7.0,13.0,61,35,1021.5,1019.7,12.7,16.4,No,0.0,No,2019.0,6.0,181.0
117,Wollongong,7.7,15.3,0.0,S,41.0,SW,S,13.0,26.0,55,50,1026.1,1025.4,12.7,15.1,No,0.0,No,2012.0,7.0,202.0
118,Wollongong,13.3,20.9,0.0,WSW,33.0,WNW,NNE,13.0,17.0,50,63,1022.4,1020.6,17.0,19.1,No,0.0,No,2011.0,8.0,214.0
119,Wollongong,13.1,22.5,0.0,NE,43.0,N,NE,15.0,33.0,56,78,1018.6,1015.0,19.5,19.3,No,0.0,No,2015.0,9.0,272.0
120,Wollongong,13.2,23.7,0.0,N,35.0,NW,N,13.0,13.0,49,73,1023.9,1020.4,18.7,19.7,No,0.0,No,2012.0,10.0,289.0
121,Wollongong,12.6,19.4,0.0,SSE,31.0,ENE,SE,6.0,17.0,64,75,1015.4,1013.5,17.2,16.7,No,1.6,Yes,2017.0,10.0,295.0
122,Wollongong,17.2,22.8,0.0,SSW,57.0,SW,SSE,20.0,20.0,65,58,1006.0,1007.5,19.6,21.6,No,0.0,No,2019.0,2.0,44.0
123,Wollongong,19.6,20.7,0.0,S,56.0,SE,S,15.0,26.0,79,68,1014.1,1016.0,20.4,19.1,No,0.0,No,2013.0,1.0,2.0
124,Wollongong,18.9,27.2,0.0,SSW,61.0,W,S,17.0,39.0,33,76,1010.5,1013.4,25.6,19.1,No,0.0,No,2019.0,4.0,99.0
125,Wollongong,9.5,18.9,0.0,WSW,57.0,WSW,W,17.0,13.0,42,28,1021.5,1017.0,12.7,18.6,No,0.0,No,2011.0,7.0,193.0
126,Wollongong,9.6,18.2,1.0,NNW,43.0,NW,N,2.0,17.0,81,66,1028.4,1025.0,14.7,16.8,No,0.0,No,2010.0,7.0,191.0
127,Wollongong,16.6,22.8,0.0,NE,44.0,NW,NE,20.0,30.0,63,60,1022.5,1019.1,19.9,22.1,No,0.0,No,2013.0,12.0,336.0
128,Wollongong,17.7,28.0,0.0,,,WNW,,6.0,,76,71,1020.1,1017.9,21.5,25.2,No,0.0,No,2010.0,3.0,82.0
129,Wollongong,11.7,18.6,0.0,SE,30.0,SE,E,7.0,11.0,73,66,1024.4,1022.5,15.8,17.8,No,0.0,No,2010.0,10.0,281.0
130,Wollongong,16.6,23.2,0.0,N,39.0,N,NNE,20.0,19.0,64,57,1015.4,1011.3,20.1,23.0,No,0.0,No,2015.0,3.0,76.0
131,Wollongong,16.4,24.6,0.0,NW,30.0,SE,NNE,9.0,11.0,84,88,1010.4,1008.8,19.5,19.6,No,0.0,No,2018.0,11.0,309.0
132,Wollongong,20.7,26.4,0.0,NE,52.0,NNE,NE,17.0,39.0,87,73,1016.3,1011.3,22.8,25.1,No,0.0,No,2009.0,2.0,33.0
133,Wollongong,13.6,21.5,0.0,WNW,44.0,NNE,NE,4.0,20.0,62,72,1025.6,1021.5,17.7,17.8,No,0.0,No,2018.0,5.0,148.0
134,Wollongong,21.1,25.8,0.2,NNE,22.0,N,NNE,7.0,15.0,90,81,1019.6,1017.1,22.1,23.2,No,1.2,Yes,2019.0,1.0,21.0
135,Wollongong,19.4,31.7,12.2,WSW,46.0,NW,WSW,13.0,24.0,55,31,1009.0,1006.5,24.0,30.9,Yes,0.0,No,2009.0,11.0,331.0
136,Wollongong,20.4,31.8,0.0,W,59.0,ENE,NNW,26.0,24.0,64,37,1008.5,1002.8,23.6,31.6,No,2.6,Yes,2018.0,3.0,84.0
137,Wollongong,15.8,24.4,0.0,S,37.0,NW,NNE,20.0,9.0,55,56,1018.2,1014.4,19.3,22.9,No,0.0,No,2014.0,4.0,112.0
138,Wollongong,7.9,16.4,0.0,W,59.0,W,SW,22.0,24.0,53,30,1015.2,1016.5,9.9,15.4,No,0.0,No,2018.0,8.0,224.0
139,Wollongong,7.9,17.4,0.0,WSW,28.0,WSW,NE,17.0,13.0,47,51,1027.8,1023.5,11.9,15.7,No,0.0,No,2019.0,8.0,235.0
140,Wollongong,14.9,22.0,0.0,NE,31.0,N,N,9.0,15.0,66,71,1030.4,1028.9,18.6,18.9,No,0.0,No,2013.0,9.0,245.0
141,Wollongong,11.4,20.1,0.0,SSW,43.0,SW,SSE,13.0,26.0,74,66,1024.3,1024.3,15.9,18.5,No,0.8,No,2019.0,4.0,91.0
142,Wollongong,13.9,22.4,0.0,SSE,28.0,SE,ESE,7.0,11.0,76,76,1018.8,1017.6,18.9,22.0,No,0.0,No,2018.0,10.0,304.0
143,Wollongong,10.0,20.6,0.0,N,35.0,NNW,NNE,19.0,17.0,66,65,1017.7,1010.2,14.5,16.7,No,0.8,No,2010.0,9.0,252.0
144,Wollongong,17.4,23.1,1.4,NNW,41.0,W,SSE,7.0,15.0,75,76,1019.1,1017.2,20.6,21.6,Yes,0.0,No,2012.0,3.0,89.0
145,Wollongong,14.9,19.9,30.2,SSW,65.0,SSW,S,33.0,46.0,87,72,1009.7,1010.3,15.4,19.1,Yes,5.2,Yes,2018.0,11.0,333.0
146,Wollongong,17.0,21.2,0.0,S,80.0,NW,ENE,4.0,9.0,89,84,1012.5,1010.4,18.6,20.4,No,0.0,No,2011.0,10.0,303.0
147,Wollongong,11.5,19.5,0.0,N,57.0,NNW,NNE,15.0,24.0,70,66,1026.4,1019.5,16.3,18.5,No,0.0,No,2019.0,6.0,180.0
148,Wollongong,11.4,20.2,0.0,WSW,28.0,E,NNE,7.0,13.0,44,55,1018.7,1014.3,17.0,18.5,No,0.0,No,2017.0,8.0,226.0
149,Wollongong,13.1,22.7,0.0,NNW,70.0,NW,NW,22.0,20.0,48,36,1010.2,1007.5,16.0,20.4,No,0.2,No,2013.0,8.0,218.0
150,Wollongong,9.3,16.9,0.0,S,17.0,S,N,7.0,6.0,66,63,1035.7,1032.7,14.0,16.4,No,0.0,No,2010.0,7.0,208.0
151,Wollongong,10.9,19.0,0.0,NE,50.0,N,NE,11.0,37.0,66,69,1030.7,1026.7,16.7,17.5,No,0.0,No,2011.0,9.0,246.0
152,Wollongong,10.4,13.6,0.2,SSW,37.0,SW,SSW,17.0,26.0,87,80,1024.3,1022.2,10.9,12.6,No,5.8,Yes,2019.0,8.0,238.0
153,Wollongong,11.4,16.3,0.0,S,44.0,SW,S,15.0,37.0,70,67,1035.1,1033.5,14.3,15.7,No,2.0,Yes,2011.0,6.0,179.0
154,Wollongong,12.2,16.0,0.0,W,100.0,SW,SW,33.0,28.0,45,36,1009.2,1013.7,13.9,14.8,No,0.0,No,2011.0,7.0,188.0
155,Wollongong,10.7,16.7,5.6,SSE,30.0,S,SE,11.0,7.0,89,83,1031.6,1029.2,14.0,15.2,Yes,1.6,Yes,2014.0,8.0,235.0
156,Wollongong,10.2,18.2,0.0,WSW,35.0,NW,WSW,7.0,17.0,54,38,1019.5,1015.8,13.6,18.0,No,0.0,No,2012.0,7.0,200.0
157,Wollongong,12.7,20.3,7.2,SSW,41.0,SSW,SSE,26.0,19.0,74,66,1022.7,1022.1,16.8,19.6,Yes,0.0,No,2009.0,12.0,336.0
158,Wollongong,14.3,21.7,0.0,W,56.0,W,ESE,20.0,17.0,34,51,1011.9,1011.5,18.7,20.2,No,0.0,No,2019.0,11.0,314.0
159,Wollongong,12.0,18.2,0.0,WNW,76.0,WSW,W,20.0,19.0,44,31,1012.1,1012.3,13.9,17.3,No,0.0,No,2009.0,4.0,117.0
160,Wollongong,11.8,19.9,1.2,,,WNW,N,2.0,11.0,86,77,1016.3,1013.4,15.6,17.9,Yes,,,2010.0,7.0,211.0
161,Wollongong,17.5,23.3,0.0,NNE,26.0,N,N,11.0,13.0,76,81,1009.9,1005.4,20.0,21.8,No,0.0,No,2014.0,12.0,352.0
162,Wollongong,12.4,21.3,0.0,NE,44.0,NW,NE,19.0,28.0,48,69,1024.4,1019.6,18.9,18.4,No,0.0,No,2012.0,9.0,254.0
